,Review-Body,label
2728,phone is just awesome but camera quality is not that much good,0
2727,camera is of very bad quality,0
2726,no charger in the box only c type cable have in the box,0
2724,a descent product in this price,0
2732,very bed phone phone is hang any time very poor service,0
2723,apps are getting closed while doing important tasks,0
2742,it is a good phone in its price level,0
2745,waste of money i have never seen such a useless product before,0
2762,chinese quality,0
2761,phone took so much time for charge,0
2759,battery warming very soon,0
2758,phone was dead aftrr a week,0
2757,camera totally sucks and back finish is plastic,0
2756,i wonder why people are saying it hangs and there is lag,0
2755,camera is not good clearity is worst,0
2744,lags sometime while handling everyday task like social media apps and auto refresh rate while on,0
2754,the media could not be loaded,0
2752,after,0
2751,the phone color is not as same shown in amazon photo images,0
2750,just after,0
2749,all good,0
2748,phone in this price range is ok,0
2747,it,0
2746,very poor,0
2753,average performance,0
2681,not good quality of back and front camera not satisfied with the product it,0
2722,front camera is worst,0
2720,very good phone,0
2698,ok,0
2697,i bought this in great indian festivalat that its price,0
2696,awesome,0
2695,i bought it for,0
2694,camera not good,0
2693,camera quality is below expectation,0
2692,good product nice,0
2699,average phone,0
2691,camera is not functioning after,0
2689,very bad,0
2688,big screen than my m,0
2687,camera quality is vary poor and charging iss very slow,0
2686,i have been using this from past,0
2685,the media could not be loaded,0
2684,bad,0
2683,good product,0
2690,i like this product,0
2721,camera is not working as expected,0
2700,camera bilkul bekaar hai,0
2702,pictures quality not too good not too to bad avarage,0
2719,ok ok,0
2717,am a student and a samsung user since a decade,0
2716,everything is good about this phone except camera,0
2715,camera quality is really bad,0
2714,hangs,0
2713,battery,0
2712,i did not like telephone getting heated up when it ischarged,0
2701,the media could not be loaded,0
2711,google dyler google messaging,0
2709,i,0
2708,camera is very poor,0
2707,don,0
2706,good product,0
2705,best,0
2704,battery life is not good,0
2703,as expected,0
2710,best for gaming and battery life is good,0
8982,product is very bad i have lost my money my mobile is not properly working after,0
2929,touch is amazing as compared to xiaomi phones,0
2931,worst camera quality,0
3149,the media could not be loaded,0
3148,good mobile,0
3147,a,0
3146,satisfied with this phone,0
3145,camera quality very bad,0
3144,processor could have been better overall a decent phone,0
3143,very good,0
3142,absolutely the best phone under,0
3141,this phone is like helicopter for mid range,0
3140,not like because dual app not support,0
3139,my product is very slow internet speed so please return this item,0
3138,all specifications are oknice phonescreen are very vibrant and full brightenbattery life,0
3137,after,0
3136,very good phone love it loved it loved it and loved it so much very very love it and then loved it,0
3135,battery backup is poor,0
3150,donald buy chaina phone,0
3151,to charge,0
3152,good,0
3153,average camera,0
3169,camera quality good,0
